Ngày phát hành,Dự báo,Thực tế,Trước đó
15/02/2023,10.5,,10.5
18/01/2023,10.5,10.5,10.7
14/12/2022,10.9,10.7,11.1
16/11/2022,10.7,11.1,10.1
19/10/2022,10.0,10.1,9.9
14/09/2022,10.2,9.9,10.1
17/08/2022,9.8,10.1,9.4
20/07/2022,9.3,9.4,9.1
22/06/2022,9.1,9.1,9.0
18/05/2022,9.1,9.0,7.0
13/04/2022,6.7,7.0,6.2
23/03/2022,5.9,6.2,5.5
16/02/2022,5.4,5.5,5.4
19/01/2022,5.2,5.4,5.1
15/12/2021,4.7,5.1,4.2
17/11/2021,3.9,4.2,3.1
20/10/2021,3.2,3.1,3.2
15/09/2021,2.9,3.2,2.0
18/08/2021,2.3,2.0,2.5
14/07/2021,2.2,2.5,2.1
16/06/2021,1.8,2.1,1.5
19/05/2021,1.4,1.5,0.7
21/04/2021,0.8,0.7,0.4
24/03/2021,0.8,0.4,0.7
17/02/2021,0.6,0.7,0.6
20/01/2021,0.5,0.6,0.3
16/12/2020,0.6,0.3,0.7
18/11/2020,0.6,0.7,0.5
21/10/2020,0.5,0.5,0.2
16/09/2020,0.1,0.2,1.0
19/08/2020,0.6,1.0,0.6
15/07/2020,0.4,0.6,0.5
17/06/2020,0.5,0.5,0.8
20/05/2020,0.9,0.8,1.5
22/04/2020,1.5,1.5,1.7
25/03/2020,1.7,1.7,1.8
19/02/2020,1.6,1.8,1.3
15/01/2020,1.5,1.3,1.5
18/12/2019,1.4,1.5,1.5
13/11/2019,1.6,1.5,1.7
16/10/2019,1.8,1.7,1.7
18/09/2019,1.8,1.7,2.1
14/08/2019,1.9,2.1,2.0
17/07/2019,2.0,2.0,2.0
19/06/2019,2.0,2.0,2.1
22/05/2019,2.2,2.1,1.9
17/04/2019,2.0,1.9,1.9
20/03/2019,1.8,1.9,1.8
13/02/2019,1.9,1.8,2.1
16/01/2019,2.1,2.1,2.3
19/12/2018,2.3,2.3,2.4
14/11/2018,2.5,2.4,2.4
17/10/2018,2.6,2.4,2.7
19/09/2018,2.4,2.7,2.5
15/08/2018,2.5,2.5,2.4
18/07/2018,2.6,2.4,2.4
13/06/2018,2.4,2.4,2.4
23/05/2018,2.5,2.4,2.5
18/04/2018,2.7,2.5,2.7
20/03/2018,2.8,2.7,3.0
13/02/2018,2.9,3.0,3.0
16/01/2018,3.0,3.0,3.1
12/12/2017,3.0,3.1,3.0
14/11/2017,3.1,3.0,3.0
17/10/2017,3.0,3.0,2.9
12/09/2017,2.8,2.9,2.6
15/08/2017,2.7,2.6,2.6
18/07/2017,2.9,2.6,2.9
13/06/2017,2.7,2.9,2.7
16/05/2017,2.6,2.7,2.3
11/04/2017,2.3,2.3,2.3
21/03/2017,2.1,2.3,1.8
14/02/2017,1.9,1.8,1.6
17/01/2017,1.4,1.6,1.2
13/12/2016,1.1,1.2,0.9
15/11/2016,1.1,0.9,1.0
18/10/2016,0.9,1.0,0.6
13/09/2016,0.7,0.6,0.6
16/08/2016,0.5,0.6,0.5
19/07/2016,0.4,0.5,0.3
14/06/2016,0.4,0.3,0.3
17/05/2016,0.5,0.3,0.5
12/04/2016,0.4,0.5,0.3
22/03/2016,0.4,0.3,0.3
16/02/2016,0.3,0.3,0.2
19/01/2016,0.1,0.2,0.1
15/12/2015,0.1,0.1,-0.1
17/11/2015,-0.1,-0.1,-0.1
13/10/2015,0.0,-0.1,0.0
15/09/2015,0.0,0.0,0.1
18/08/2015,0.0,0.1,0.0
14/07/2015,0.1,0.0,0.1
16/06/2015,0.1,0.1,-0.1
19/05/2015,0.0,-0.1,0.0
14/04/2015,0.0,0.0,0.0
24/03/2015,0.1,0.0,0.3
17/02/2015,0.3,0.3,0.5
13/01/2015,0.7,0.5,1.0
16/12/2014,1.2,1.0,1.3
18/11/2014,1.2,1.3,1.2
14/10/2014,1.4,1.2,1.5
16/09/2014,1.5,1.5,1.6
19/08/2014,1.8,1.6,1.9
15/07/2014,1.6,1.9,1.5
17/06/2014,1.7,1.5,1.8
20/05/2014,1.7,1.8,1.6
15/04/2014,1.6,1.6,1.7
25/03/2014,1.7,1.7,1.9
